match_id,date,group,team_a,team_b,score,team_a_total_attempts,team_a_shots_on_target,team_b_total_attempts,team_b_shots_on_target,evidence_type,evidence_url,fifa_match_url,fifa_fulltime_report_url,fifa_summary_report_url
400021474,2026-06-14,F,Sweden,Tunisia,5–1,13,7,6,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12484/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021474,https://fdp.fifa.org/assetspublic/ce281/r12484/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M12-SWE-V-TUN.pdf
400021472,2026-06-20,F,Netherlands,Sweden,5–1,10,7,16,8,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12481/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021472,https://fdp.fifa.org/assetspublic/ce281/r12481/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M35-NED-V-SWE.pdf
400021475,2026-06-20,F,Tunisia,Japan,0–4,2,0,11,5,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12483/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021475,https://fdp.fifa.org/assetspublic/ce281/r12483/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M36-TUN-V-JPN.pdf
400021471,2026-06-25,F,Japan,Sweden,1–1,8,3,11,5,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12479/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021471,https://fdp.fifa.org/assetspublic/ce281/r12479/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M57-JPN-V-SWE.pdf
400021473,2026-06-25,F,Tunisia,Netherlands,1–3,10,4,20,7,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12482/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021473,https://fdp.fifa.org/assetspublic/ce281/r12482/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M58-TUN-V-NED.pdf
400021478,2026-06-15,G,Belgium,Egypt,1–1,15,3,14,4,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12488/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021478,https://fdp.fifa.org/assetspublic/ce281/r12488/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M16-BEL-V-EGY.pdf
400021476,2026-06-15,G,Iran,New Zealand,2–2,17,4,14,8,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12485/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021476,https://fdp.fifa.org/assetspublic/ce281/r12485/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M15-IRN-V-NZL.pdf
400021477,2026-06-21,G,Belgium,Iran,0–0,23,7,7,3,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12486/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021477,https://fdp.fifa.org/assetspublic/ce281/r12486/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M39-BEL-V-IRN.pdf
400021480,2026-06-21,G,New Zealand,Egypt,1–3,11,5,19,7,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12489/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021480,https://fdp.fifa.org/assetspublic/ce281/r12489/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M40-NZL-V-EGY.pdf
400021479,2026-06-26,G,Egypt,Iran,1–1,15,3,13,4,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12487/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021479,https://fdp.fifa.org/assetspublic/ce281/r12487/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M63-EGY-V-IRN.pdf
